Erumpunt	Erumpunt	np1	Erumpunt	Erumpunt	0
torvis	torvis	fw-la	torvis	torvis	0
fulgura	fulgura	fw-la	fulgura	fulgura	0
luminibus	luminibus	fw-la	luminibus	luminibus	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
flammae	flammae	fw-la	flammae	flammae	0
vibrant	vibrant	fw-la	vibrant	vibrant	0
,	,	,	,	,	0
&	&	cc	&	and	0
vera	vera	fw-la	vera	vera	0
tonitrua	tonitrua	fw-la	tonitrua	tonitrua	0
rauco	rauco	fw-la	rauco	rauco	0
Admistis	Admistis	fw-la	Admistis	admistis	0
flammis	flammis	fw-la	flammis	flammis	0
insonuere	insonuere	fw-la	insonuere	insonuere	0
Polo	Polo	np1	Polo	Polo	0
:	:	:	:	:	0
Excidit	Excidit	fw-la	Excidit	excidit	0
attonitis	attonitis	n1	attonitis	attonitis	0
mens	mens	fw-la	mens	mens	0
omnis	omnis	fw-la	omnis	omnis	0
,	,	,	,	,	0
&	&	cc	&	and	0
impetus	impetus	fw-la	impetus	impetus	0
omnis	omnis	fw-la	omnis	omnis	0
Et	Et	fw-la	Et	et	0
cassis	cassis	fw-la	cassis	cassis	0
dextris	dextris	fw-la	dextris	dextris	0
irrita	irrita	fw-la	irrita	irrita	0
Telacadunt	Telacadunt	fw-la	Telacadunt	telacadunt	0
.	.	.	.	.	1
Ad	Ad	fw-la	Ad	ad	0
poenas	poenas	n2	poenas	poena	0
fugiunt	fugiunt	fw-la	fugiunt	fugiunt	0
,	,	,	,	,	0
&	&	cc	&	and	0
ceu	ceu	fw-fr	ceu	ceu	0
foret	foret	n1	foret	foret	0
Orcus	Orcus	np1	Orcus	Orcus	0
asylum	asylum	fw-mi	asylum	asylum	0
Infernis	Infernis	np1	Infernis	Infernis	0
certant	certant	fw-fr	certant	certant	0
condere	condere	fw-la	condere	condere	0
se	se	fw-la	se	se	0
tenebris	tenebris	fw-la	tenebris	tenebris	0
.	.	.	.	.	1
Cedite	Cedite	fw-la	Cedite	cedite	0
Romani	Romani	np1	Romani	Romani	0
Scriptores	Scriptores	fw-la	Scriptores	scriptores	0
,	,	,	,	,	0
cedite	cedite	fw-la	cedite	cedite	0
Graii	Graii	np1	Graii	Graii	0
Et	Et	fw-la	Et	et	0
quos	quos	fw-la	quos	quos	0
fama	fama	fw-la	fama	fama	0
recens	recens	fw-la	recens	recens	0
vel	vel	fw-la	vel	vel	0
celebravit	celebravit	fw-la	celebravit	celebravit	0
anus	anus	fw-la	anus	anus	0
.	.	.	.	.	1
Haec	Haec	fw-la	Haec	haec	0
quicunque	quicunque	fw-la	quicunque	quicunque	0
leget	leget	fw-la	leget	leget	0
tantum	tantum	fw-la	tantum	tantum	0
cecinesse	cecinesse	n1	cecinesse	cecinesse	0
putabit	putabit	fw-la	putabit	putabit	0
Maeonidem	Maeonidem	fw-la	Maeonidem	maeonidem	0
ranas	ranas	fw-la	ranas	ranas	0
,	,	,	,	,	0
Virgilium	Virgilium	fw-la	Virgilium	virgilium	0
culices	culices	fw-la	culices	culices	0
.	.	.	.	.	1
S.	S.	np1	S.	S.	0
B.	B.	np1	B.	B.	0
M.	M.	n1	M.	m.	0
D.	D.	np1	D.	D.	1
ON	ON	p-acp	ON	on	0
Paradise	Paradise	n1	Paradise	paradise	0
Lost.	Lost.	vvn	Lost.	lose	0
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
beheld	beheld	vvd	beheld	behold	0
the	the	dt	the	the	0
Poet	Poet	n1	Poet	poet	0
blind	blind	j	blind	blind	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
slender	slender	j	slender	slender	0
Book	Book	n1	Book	book	0
his	his	po31	his	his	0
vast	vast	j	vast	vast	0
Design	Design	n1	Design	design	0
unfold	unfold	vvi	unfold	unfold	0
