,am_ep,paradiselost,fq1596,fowre_hymnes,axiochus,prothalamion
advantages,0.0,4.505525936990736,0.0,0.0,0.0,0.0
adventer,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adventure,0.0,5.541893581161611,81.28110585703696,0.0,0.0,0.0
adventured,0.0,0.0,13.516577810972208,0.0,0.0,0.0
adventurer,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
adventures,0.0,0.0,90.11051873981472,0.0,0.0,0.0
adventurest,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adventuring,0.0,0.0,4.505525936990736,0.0,0.0,0.0
adventurous,0.0,9.236489301936018,14.77838288309763,0.0,0.0,0.0
adversary,0.0,15.769340779467576,0.0,0.0,0.0,0.0
adverse,0.0,20.274866716458313,0.0,0.0,0.0,0.0
adversity,0.0,0.0,2.252762968495368,0.0,0.0,0.0
advice,0.0,20.32027646425924,3.6945957207744073,0.0,0.0,0.0
adviceful,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adviewed,0.0,0.0,2.252762968495368,0.0,0.0,0.0
advise,0.0,0.0,55.41893581161611,1.8472978603872037,0.0,0.0
advised,0.0,3.6945957207744073,35.09865934735687,0.0,0.0,0.0
advisement,0.0,0.0,11.26381484247684,0.0,0.0,0.0
advising,0.0,1.8472978603872037,12.931085022710425,0.0,0.0,0.0
advocate,0.0,2.252762968495368,0.0,0.0,0.0,0.0
advocates,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adward,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aecidee,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aegaean,0.0,1.8472978603872037,3.6945957207744073,0.0,0.0,0.0
aegerie,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aegin,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aegle,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aegles,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aegypt,0.0,6.758288905486104,0.0,0.0,0.0,0.0
aemylia,0.0,0.0,20.274866716458313,0.0,0.0,0.0
aemylias,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aeneas,0.0,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0
aeolus,0.0,0.0,11.26381484247684,0.0,0.0,0.0
